Name of the District,Number of Beneficiaries Enrolled
Agar Malwa,25577
Alirajpur,39339
Anuppur,28048
Ashoknagar,41677
Balaghat,75588
Barwani,69536
Betul,72350
Bhind,69690
Bhopal,102086
Burhanpur,34417
Chhatarpur,87183
Chhindwara,99488
Damoh,59777
Datia,36861
Dewas,72420
Dhar,110880
Dindori,34544
East Nimar,59893
Guna,63664
Gwalior,82480
Harda,24491
Hoshangabad,54159
Indore,165653
Jabalpur,110002
Jhabua,66337
Katni,57726
Khargone,90091
Mandla,44434
Mandsaur,61853
Morena,88996
Narsinghpur,44762
Neemuch,34931
Niwari,19142
Panna,48252
Raisen,60909
Rajgarh,80010
Ratlam,71913
Rewa,100256
Sagar,107377
Satna,94168
Sehore,67893
Seoni,64982
Shahdol,49322
Shajapur,44565
Sheopur,33545
Shivpuri,84391
Sidhi,50343
Singrauli,59005
Tikamgarh,51502
Ujjain,89912
Umaria,30043
Vidisha,68010
